Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","Mouse_Bite","Mouse_Bite",147.928600,75.892115,0.000000,top
"REF**","Mouse_Bite","Mouse_Bite",148.678600,75.892115,0.000000,top
"Ref**","Val**","Junco",226.113882,-71.994312,0.000000,top
"SK68XX_Mini9","SK68XXMini","SK68XXMini_Offset",108.582764,109.361376,180.000000,top
"SK68XX_Mini10","SK68XXMini","SK68XXMini_Offset",89.532764,111.861376,180.000000,top
"SK68XX_Mini11","SK68XXMini","SK68XXMini_Offset",70.482764,117.361376,180.000000,top
"SK68XX_Mini12","SK68XXMini","SK68XXMini_Offset",51.432764,111.861376,180.000000,top
"SK68XX_Mini13","SK68XXMini","SK68XXMini_Offset",32.382764,99.861376,180.000000,top
"SK68XX_Mini14","SK68XXMini","SK68XXMini_Offset",13.332764,99.861376,180.000000,top
"SK68XX_Mini15","SK68XXMini","SK68XXMini_Offset",13.332764,80.811376,180.000000,top
"SK68XX_Mini16","SK68XXMini","SK68XXMini_Offset",32.382764,80.811376,180.000000,top
"SK68XX_Mini17","SK68XXMini","SK68XXMini_Offset",51.432764,92.811376,180.000000,top
"SK68XX_Mini18","SK68XXMini","SK68XXMini_Offset",70.482764,98.311376,180.000000,top
"SK68XX_Mini19","SK68XXMini","SK68XXMini_Offset",89.532764,92.811376,180.000000,top
"SK68XX_Mini20","SK68XXMini","SK68XXMini_Offset",108.582764,90.311376,180.000000,top
"SK68XX_Mini21","SK68XXMini","SK68XXMini_Offset",108.582764,71.261376,180.000000,top
"SK68XX_Mini22","SK68XXMini","SK68XXMini_Offset",89.532764,73.761376,180.000000,top
"SK68XX_Mini23","SK68XXMini","SK68XXMini_Offset",70.482764,79.261376,180.000000,top
"SK68XX_Mini24","SK68XXMini","SK68XXMini_Offset",51.432764,73.761376,180.000000,top
"SK68XX_Mini25","SK68XXMini","SK68XXMini_Offset",32.382764,61.761376,180.000000,top
"SK68XX_Mini26","SK68XXMini","SK68XXMini_Offset",13.332764,61.761376,180.000000,top
"SK68XX_Mini27","SK68XXMini_Short_Offset_for_Rotary_Encoder","SK68XXMini_Short_Offset_for_Rotary_Encoder",13.335000,42.720000,180.000000,top
"SK68XX_Mini28","SK68XXMini","SK68XXMini_Offset",32.382764,42.711376,180.000000,top
"SK68XX_Mini29","SK68XXMini","SK68XXMini_Offset",51.432764,54.711376,180.000000,top
"SK68XX_Mini30","SK68XXMini","SK68XXMini_Offset",70.482764,60.211376,180.000000,top
"SK68XX_Mini31","SK68XXMini","SK68XXMini_Offset",89.532764,54.711376,180.000000,top
"SK68XX_Mini32","SK68XXMini","SK68XXMini_Offset",108.582764,52.211376,180.000000,top
"SK68XX_Mini33","SK68XXMini","SK68XXMini_Offset",129.432764,23.647976,-112.000000,top
"SK68XX_Mini34","SK68XXMini","SK68XXMini_Offset",109.582764,25.771676,-112.000000,top
"SK68XX_Mini35","SK68XXMini","SK68XXMini_Offset",89.532764,35.661376,180.000000,top
"SK68XX_Mini36","SK68XXMini","SK68XXMini_Offset",70.482764,41.161376,180.000000,top
"SK68XX_Mini37","SK68XXMini","SK68XXMini_Offset",51.432764,35.661376,180.000000,top
"SK68XX_Mini46","SK68XXMini","SK68XXMini_Offset",188.025564,109.361376,180.000000,top
"SK68XX_Mini47","SK68XXMini","SK68XXMini_Offset",207.075564,111.861376,180.000000,top
"SK68XX_Mini48","SK68XXMini","SK68XXMini_Offset",226.125564,117.361376,180.000000,top
"SK68XX_Mini49","SK68XXMini","SK68XXMini_Offset",245.175564,111.861376,180.000000,top
"SK68XX_Mini50","SK68XXMini","SK68XXMini_Offset",264.225564,99.861376,180.000000,top
"SK68XX_Mini51","SK68XXMini","SK68XXMini_Offset",283.275564,99.861376,180.000000,top
"SK68XX_Mini52","SK68XXMini","SK68XXMini_Offset",283.275564,80.811376,180.000000,top
"SK68XX_Mini53","SK68XXMini","SK68XXMini_Offset",264.225564,80.811376,180.000000,top
"SK68XX_Mini54","SK68XXMini","SK68XXMini_Offset",245.175564,92.811376,180.000000,top
"SK68XX_Mini55","SK68XXMini","SK68XXMini_Offset",226.125564,98.311376,180.000000,top
"SK68XX_Mini56","SK68XXMini","SK68XXMini_Offset",207.075564,92.811376,180.000000,top
"SK68XX_Mini57","SK68XXMini","SK68XXMini_Offset",188.025564,90.311376,180.000000,top
"SK68XX_Mini58","SK68XXMini","SK68XXMini_Offset",188.025564,71.261376,180.000000,top
"SK68XX_Mini59","SK68XXMini","SK68XXMini_Offset",207.075564,73.761376,180.000000,top
"SK68XX_Mini60","SK68XXMini","SK68XXMini_Offset",226.125564,79.261376,180.000000,top
"SK68XX_Mini61","SK68XXMini","SK68XXMini_Offset",245.175564,73.761376,180.000000,top
"SK68XX_Mini62","SK68XXMini","SK68XXMini_Offset",264.225564,61.761376,180.000000,top
"SK68XX_Mini63","SK68XXMini","SK68XXMini_Offset",283.275564,61.761376,180.000000,top
"SK68XX_Mini64","SK68XXMini","SK68XXMini_Short_Offset_for_Rotary_Encoder",283.272200,42.720000,180.000000,top
"SK68XX_Mini65","SK68XXMini","SK68XXMini_Offset",264.225564,42.711376,180.000000,top
"SK68XX_Mini66","SK68XXMini","SK68XXMini_Offset",245.175564,54.711376,180.000000,top
"SK68XX_Mini67","SK68XXMini","SK68XXMini_Offset",226.125564,60.211376,180.000000,top
"SK68XX_Mini68","SK68XXMini","SK68XXMini_Offset",207.075564,54.711376,180.000000,top
"SK68XX_Mini69","SK68XXMini","SK68XXMini_Offset",188.025564,52.211376,180.000000,top
"SK68XX_Mini70","SK68XXMini","SK68XXMini_Offset",167.266036,23.547724,112.000000,top
"SK68XX_Mini71","SK68XXMini","SK68XXMini_Offset",187.116036,25.684024,112.000000,top
"SK68XX_Mini72","SK68XXMini","SK68XXMini_Offset",207.075564,35.661376,180.000000,top
"SK68XX_Mini73","SK68XXMini","SK68XXMini_Offset",226.125564,41.161376,180.000000,top
"SK68XX_Mini74","SK68XXMini","SK68XXMini_Offset",245.175564,35.661376,180.000000,top
"SW19","SW_MX_Hotswap_Rotary_Switch_Rotated","SW_MX_Hotswap_Rotary_Switch_Rotated",13.335000,42.720000,0.000000,top
"SW49","SW_MX_Hotswap_Rotary_Switch_Rotated","SW_MX_Hotswap_Rotary_Switch_Rotated",283.272200,42.720000,0.000000,top
